ID,CODIGO,DESCRIPCION,LATITUD,LONGITUD,DIRECCION,CP,POBLACION,PROVINCIA,PAIS
864,50202,ALMURADIEL-VISO DEL MARQUÉS,38.5142670,-3.5019350,"C/ San Antonio, S/N",13760,ALMURADIEL,CIUDAD REAL,ESPAÑA
865,50207,VILCHES,38.2157420,-3.5175760,"C/ Estación Ferrocarril, S/N",23220,VILCHES,JAÉN,ESPAÑA
866,50300,LINARES-BAEZA,38.0688640,-3.5893960,"Pla. de las Palmeras, S/N",23490,LINARES,JAÉN,ESPAÑA
867,50400,ESPELÚY,38.0102470,-3.8327260,"Pla. Estación Ferrocarril, 3",23628,ESPELÚY,JAÉN,ESPAÑA
868,50403,ANDÚJAR,38.0282250,-4.0660360,"Ctra. Estación Ferrocarril, S/N",23740,ANDÚJAR,JAÉN,ESPAÑA
869,50407,VILLA DEL RÍO,37.9813310,-4.2837880,"C/ Prolongacion Estación Ferrocarril, S/N",14640,VILLA DEL RÍO,CÓRDOBA,ESPAÑA
870,50413,ALCOLEA DE CÓRDOBA,37.9223260,-4.6947510,"Ctra. N - Iv - Madrid - Cádiz - Estación Ferrocarril, S/N",14610,CÓRDOBA,CÓRDOBA,ESPAÑA
871,50417,CAMPUS UNIVERSITARIO DE RABANALES,37.9125600,-4.7208600,"C/ Estación Ferrocarril, S/N",14014,CÓRDOBA,CÓRDOBA,ESPAÑA
872,50500,CÓRDOBA-JULIO ANGUITA,37.8882910,-4.7894530,"Glorieta de las Tres Culturas, S/N",14011,CÓRDOBA,CÓRDOBA,ESPAÑA
873,50501,EL HIGUERÓN,37.8702710,-4.8389420,"C/ Cantero Juan de Ochoa, 4",14193,CÓRDOBA,CÓRDOBA,ESPAÑA
874,50502,VILLARRUBIA DE CÓRDOBA,37.8475740,-4.9153390,"Pza. Azucarera San Rafael, S/N",14710,CÓRDOBA,CÓRDOBA,ESPAÑA
875,50504,POSADAS,37.8039860,-5.1063250,"Pza. Estación Ferrocarril, S/N",14730,POSADAS,CÓRDOBA,ESPAÑA
876,50506,PALMA DEL RÍO,37.7180810,-5.2927600,"C/ Estación Ferrocarril, S/N",14700,PALMA DEL RÍO,CÓRDOBA,ESPAÑA
877,50507,PEÑAFLOR,37.7075020,-5.3416090,"C/ Estación de Ferrocarril, S/N",41470,PEÑAFLOR,SEVILLA,ESPAÑA
921,54105,MONTILLA,37.5788510,-4.6341120,,,MONTILLA,CÓRDOBA,ESPAÑA
922,54106,AGUILAR DE LA FRONTERA,37.5245580,-4.6607240,,,AGUILAR DE LA FRONTERA,CÓRDOBA,ESPAÑA
923,54201,PUENTE GENIL,37.3959710,-4.7529820,,,PUENTE GENIL,CÓRDOBA,ESPAÑA
924,54202,CASARICHE,37.2945590,-4.7643860,,,CASARICHE,SEVILLA,ESPAÑA
925,54300,LA RODA DE ANDALUCÍA,37.2092940,-4.7749760,,,RODA DE ANDALUCÍA (LA),SEVILLA,ESPAÑA
926,54301,FUENTE DE PIEDRA,37.1353070,-4.7379670,,,FUENTE DE PIEDRA,MÁLAGA,ESPAÑA
927,54400,BOBADILLA,37.0370730,-4.7279420,"Pla. de la Estación, S/N",29540,ANTEQUERA,MÁLAGA,ESPAÑA
928,54403,EL CHORRO-CAMINITO DEL REY,36.9073350,-4.7592580,"Ctra. Ma - 5403 --- Estación de Ferrocarril, S/N",29552,ÁLORA,MÁLAGA,ESPAÑA
929,54404,LAS MELLIZAS,36.8733060,-4.7194330,"Barriada Estación de las Mellizas, S/N",29593,ÁLORA,MÁLAGA,ESPAÑA
944,55001,CAMPILLOS,37.0322310,-4.8634990,"Ctra. Estación Ferrocarril, S/N",29320,CAMPILLOS,MÁLAGA,ESPAÑA
945,55002,TEBA,36.9945970,-4.9239240,,,TEBA,MÁLAGA,ESPAÑA
946,55003,ALMARGEN-CAÑETE LA REAL,37.0009850,-5.0201110,"C/ Cortina Estación, 1b",29330,ALMARGEN,MÁLAGA,ESPAÑA
947,55005,SETENIL,36.8634230,-5.1213750,"Ctra. Ca-414 - Estación de Ferrocarril, S/N",11692,SETENIL DE LAS BODEGAS,CÁDIZ,ESPAÑA
948,55007,RONDA,36.7484010,-5.1619700,"Avda. de Andalucia, 31",29400,RONDA,MÁLAGA,ESPAÑA
949,55008,ARRIATE,36.7905949,-5.1407570,"Ctra. Ma -7400 - Estación Ferrocarril, S/N",29350,ARRIATE,MÁLAGA,ESPAÑA
950,55010,BENAOJÁN-MONTEJAQUE,36.7137530,-5.2463660,"Ctra. Estación Benaojan, S/N",29370,BENAOJÁN,MÁLAGA,ESPAÑA
951,55011,JIMERA DE LÍBAR,36.6606780,-5.2814730,"Avda. la Barca --- C/ Fuente Grande, S/N",29392,JIMERA DE LÍBAR,MÁLAGA,ESPAÑA
952,55012,CORTES DE LA FRONTERA,36.5973640,-5.3327840,"Avda. Llano de la Estación, S/N",29391,CORTES DE LA FRONTERA,MÁLAGA,ESPAÑA
953,55013,GAUCÍN,36.5403720,-5.3868250,"Ctra. Ma - 512 --- Estación Ferrocarril, S/N",29490,CORTES DE LA FRONTERA,MÁLAGA,ESPAÑA
