codigo,label,poblacion,coordenadas
04029,Berja,13120,Point(-2.9470166 36.8451632)
04030,Canjáyar,1139,Point(-2.7406217 37.0104452)
04031,Cantoria,3592,Point(-2.1934809 37.3524561)
04032,Carboneras,8458,Point(-1.8918946 37.0004633)
04033,Castro de Filabres,101,Point(-2.4399845 37.1850076)
04034,Cóbdar,169,Point(-2.2100178 37.2615745)
04035,Cuevas del Almanzora,15526,Point(-1.879722222 37.296944444)
04036,Chercos,301,Point(-2.258213 37.2667517)
04037,Chirivel,1619,Point(-2.2679281 37.5959771)
04038,Dalías,4196,Point(-2.87111055 36.82078429)
04039,Darrícal,51,Point(-3.02820491 36.91996113)
04039,Darrícal,54,Point(-3.02820491 36.91996113)
04041,Enix,612,Point(-2.6019386 36.8769467)
04043,Felix,771,Point(-2.6576842 36.8686676)
04044,Fines,2404,Point(-2.262777777 37.358611111)
04045,Fiñana,1956,Point(-2.8397107 37.1709721)
04046,Fondón,1152,Point(-2.858333333 36.979166666)
04047,Gádor,3130,Point(-2.491623 36.9530744)
04048,Los Gallardos,3110,Point(-1.9395126 37.1674188)
04049,Garrucha,10845,Point(-1.816666666 37.183055555)
04050,Gérgal,1211,Point(-2.5395634 37.118565)
04051,Huécija,526,Point(-2.6091422 36.9677058)
04052,Huércal de Almería,18660,Point(-2.4407545 36.8823693)
04053,Huércal-Overa,20860,Point(-1.9434961 37.3898957)
04054,Íllar,492,Point(-2.6391402 36.9851023)
04055,Instinción,507,Point(-2.6595977 36.9928976)
04056,Laroya,197,Point(-2.3319143 37.295916)
04057,Laujar de Andarax,1674,Point(-2.8968337 36.9939943)
04058,Líjar,378,Point(-2.2185033 37.2949008)
04059,Lubrín,1434,Point(-2.0669673 37.216181)
04060,Lucainena de las Torres,722,Point(-2.1996949 37.0409676)
04061,Lúcar,829,Point(-2.42415 37.40093)
04062,Macael,5436,Point(-2.3 37.333333333)
04063,María,1202,Point(-2.15 37.7)
